,dt_time,temp,rh,pm2.5cnc,deviceid,pm10cnc
0,2020-11-10 16:00:00,28.0,31.92857142857143,0.0,98F4ABDCC978,0.07142857142857142
1,2020-11-10 17:00:00,28.0,32.96774193548387,0.0,98F4ABDCC978,0.03225806451612903
2,2020-11-10 18:00:00,28.0,31.190476190476193,0.0,98F4ABDCC978,0.0
3,2020-11-10 19:00:00,28.0,33.49206349206349,0.14285714285714285,98F4ABDCC978,0.2857142857142857
4,2020-11-10 20:00:00,28.0,35.0,0.5555555555555556,98F4ABDCC978,10.222222222222221
5,2020-11-11 11:00:00,27.2,27.0,77.2,98F4ABDCC978,85.8
6,2020-11-11 12:00:00,29.58730158730159,19.365079365079364,73.96825396825396,98F4ABDCC978,83.92063492063492
7,2020-11-11 13:00:00,33.15873015873016,17.460317460317462,70.98412698412699,98F4ABDCC978,80.12698412698413
8,2020-11-11 14:00:00,35.451612903225815,15.129032258064516,63.74193548387096,98F4ABDCC978,75.37096774193549
9,2020-11-11 15:00:00,37.079365079365076,13.444444444444445,62.5079365079365,98F4ABDCC978,74.47619047619048
10,2020-11-11 16:00:00,33.516129032258064,29.016129032258068,77.83870967741936,98F4ABDCC978,88.01612903225808
11,2020-11-11 17:00:00,30.714285714285715,36.857142857142854,88.03174603174604,98F4ABDCC978,98.1904761904762
12,2020-11-11 18:00:00,27.936507936507937,45.3968253968254,89.26984126984127,98F4ABDCC978,100.5238095238095
13,2020-11-11 19:00:00,26.64516129032258,47.983870967741936,105.93548387096773,98F4ABDCC978,119.95161290322581
14,2020-11-11 20:00:00,26.015873015873016,44.682539682539684,119.03174603174604,98F4ABDCC978,136.1904761904762
15,2020-11-11 21:00:00,26.758064516129032,38.67741935483871,98.17741935483869,98F4ABDCC978,112.12903225806451
16,2020-11-11 22:00:00,26.50793650793651,36.920634920634924,116.34920634920636,98F4ABDCC978,133.9206349206349
17,2020-11-11 23:00:00,26.0,30.015873015873016,113.8095238095238,98F4ABDCC978,131.7619047619048
18,2020-11-12 00:00:00,26.016129032258068,25.903225806451612,104.32258064516131,98F4ABDCC978,119.72580645161291
19,2020-11-12 01:00:00,26.063492063492063,26.952380952380953,118.57142857142857,98F4ABDCC978,137.1904761904762
20,2020-11-12 02:00:00,25.079365079365076,29.365079365079364,150.4126984126984,98F4ABDCC978,176.4285714285714
21,2020-11-12 03:00:00,24.20967741935484,33.483870967741936,198.79032258064515,98F4ABDCC978,231.74193548387098
22,2020-11-12 04:00:00,23.016129032258068,38.483870967741936,154.6290322580645,98F4ABDCC978,179.79032258064515
23,2020-11-12 05:00:00,22.50793650793651,41.77777777777778,117.71428571428572,98F4ABDCC978,134.17460317460316
24,2020-11-12 06:00:00,20.854838709677423,51.20967741935484,158.0,98F4ABDCC978,182.35483870967738
25,2020-11-12 07:00:00,20.61904761904762,49.47619047619048,167.80952380952382,98F4ABDCC978,194.0
26,2020-11-12 08:00:00,24.936507936507937,44.714285714285715,174.4285714285714,98F4ABDCC978,200.98412698412702
27,2020-11-12 09:00:00,31.758064516129032,28.516129032258068,165.0,98F4ABDCC978,188.32258064516128
28,2020-11-12 10:00:00,36.333333333333336,17.904761904761905,84.34920634920636,98F4ABDCC978,98.66666666666669
29,2020-11-12 11:00:00,36.645161290322584,16.419354838709676,51.935483870967744,98F4ABDCC978,66.38709677419354
30,2020-11-12 12:00:00,33.57142857142857,20.222222222222218,50.936507936507944,98F4ABDCC978,65.46031746031746
31,2020-11-12 13:00:00,33.888888888888886,20.952380952380953,50.349206349206355,98F4ABDCC978,64.63492063492063
32,2020-11-12 14:00:00,35.064516129032256,22.032258064516128,53.032258064516135,98F4ABDCC978,66.29032258064517
33,2020-11-12 15:00:00,33.936507936507944,31.20634920634921,62.317460317460316,98F4ABDCC978,74.09523809523809
34,2020-11-12 16:00:00,32.41935483870968,36.33870967741935,63.5,98F4ABDCC978,75.09677419354837
35,2020-11-12 17:00:00,31.26984126984127,39.698412698412696,83.69841269841271,98F4ABDCC978,94.77777777777777
36,2020-11-12 18:00:00,28.158730158730158,44.0,144.23809523809524,98F4ABDCC978,163.0793650793651
37,2020-11-12 19:00:00,27.096774193548388,45.62903225806453,118.11290322580645,98F4ABDCC978,132.3709677419355
38,2020-11-12 20:00:00,26.095238095238088,45.53968253968254,116.04761904761904,98F4ABDCC978,130.7619047619048
39,2020-11-12 21:00:00,25.049180327868854,47.360655737704924,122.81967213114756,98F4ABDCC978,138.85245901639342
40,2020-11-12 22:00:00,25.142857142857146,42.555555555555564,95.85714285714286,98F4ABDCC978,108.66666666666669
41,2020-11-12 23:00:00,24.58730158730159,46.15873015873015,143.6825396825397,98F4ABDCC978,164.06349206349208
42,2020-11-13 00:00:00,23.79032258064516,51.20967741935484,185.0161290322581,98F4ABDCC978,212.91935483870967
43,2020-11-13 01:00:00,21.19047619047619,53.66666666666666,175.047619047619,98F4ABDCC978,200.84126984126985
44,2020-11-13 02:00:00,22.0,59.306451612903224,184.35483870967738,98F4ABDCC978,212.64516129032262
45,2020-11-13 03:00:00,22.41269841269841,54.904761904761905,216.5873015873016,98F4ABDCC978,258.1904761904762
46,2020-11-13 04:00:00,23.0,53.01587301587302,250.5873015873016,98F4ABDCC978,293.92063492063494
47,2020-11-13 05:00:00,23.0,53.645161290322584,163.38709677419354,98F4ABDCC978,188.5
48,2020-11-13 06:00:00,22.873015873015877,55.17460317460318,191.06349206349208,98F4ABDCC978,224.65079365079362
49,2020-11-13 07:00:00,23.317460317460323,53.3968253968254,209.6349206349206,98F4ABDCC978,245.77777777777774
