,dt_time,temp,rh,pm2.5cnc,deviceid,pm10cnc
0,2020-11-01 00:00:00,25.476190476190478,57.01587301587302,57.79365079365079,98F4ABDCD1A3,70.84126984126982
1,2020-11-01 01:00:00,24.693548387096772,55.08064516129032,45.306451612903224,98F4ABDCD1A3,57.032258064516135
2,2020-11-01 02:00:00,24.0,54.98412698412698,38.507936507936506,98F4ABDCD1A3,47.42857142857143
3,2020-11-01 03:00:00,24.0,54.111111111111114,29.65079365079365,98F4ABDCD1A3,33.888888888888886
4,2020-11-01 04:00:00,23.580645161290327,55.32258064516129,32.935483870967744,98F4ABDCD1A3,39.37096774193548
5,2020-11-01 05:00:00,23.66666666666667,55.66666666666666,35.682539682539684,98F4ABDCD1A3,43.6031746031746
6,2020-11-01 06:00:00,23.112903225806452,57.79032258064516,41.82258064516129,98F4ABDCD1A3,52.62903225806453
7,2020-11-01 07:00:00,24.11111111111111,57.22222222222222,46.47619047619048,98F4ABDCD1A3,59.46031746031746
8,2020-11-01 08:00:00,28.35483870967742,46.79032258064516,67.79032258064517,98F4ABDCD1A3,78.37096774193549
9,2020-11-01 09:00:00,35.20634920634921,28.42857142857143,64.25396825396825,98F4ABDCD1A3,75.44444444444444
10,2020-11-01 10:00:00,40.16129032258065,18.12903225806452,40.30645161290322,98F4ABDCD1A3,50.564516129032256
11,2020-11-01 11:00:00,40.920634920634924,16.015873015873016,27.714285714285715,98F4ABDCD1A3,31.936507936507937
12,2020-11-01 12:00:00,43.063492063492056,14.761904761904766,38.047619047619044,98F4ABDCD1A3,46.82539682539682
13,2020-11-01 13:00:00,41.5,19.741935483870968,47.403225806451616,98F4ABDCD1A3,60.048387096774185
14,2020-11-01 14:00:00,41.0,20.476190476190478,48.0952380952381,98F4ABDCD1A3,60.12698412698413
15,2020-11-01 15:00:00,39.873015873015866,19.825396825396822,43.63492063492063,98F4ABDCD1A3,54.15873015873015
16,2020-11-01 16:00:00,37.451612903225815,21.62903225806452,42.08064516129032,98F4ABDCD1A3,52.24193548387096
17,2020-11-01 17:00:00,34.42857142857143,30.73015873015873,49.682539682539684,98F4ABDCD1A3,63.12698412698413
18,2020-11-01 18:00:00,31.142857142857146,42.857142857142854,50.746031746031754,98F4ABDCD1A3,65.25396825396825
19,2020-11-01 19:00:00,29.241935483870968,51.048387096774185,61.338709677419345,98F4ABDCD1A3,73.0806451612903
20,2020-11-01 20:00:00,28.857142857142854,53.87301587301587,76.53968253968254,98F4ABDCD1A3,85.34920634920636
21,2020-11-01 21:00:00,28.0,55.20634920634921,78.25396825396825,98F4ABDCD1A3,87.2857142857143
22,2020-11-01 22:00:00,27.774193548387093,56.467741935483865,67.96774193548387,98F4ABDCD1A3,77.6774193548387
23,2020-11-01 23:00:00,27.0,55.111111111111114,53.46031746031746,98F4ABDCD1A3,67.84126984126982
24,2020-11-02 00:00:00,26.64516129032258,55.225806451612904,55.435483870967744,98F4ABDCD1A3,69.14516129032258
25,2020-11-02 01:00:00,26.0,56.92063492063492,50.46031746031746,98F4ABDCD1A3,64.41269841269842
26,2020-11-02 02:00:00,26.0,57.016129032258064,48.161290322580655,98F4ABDCD1A3,61.5
27,2020-11-02 03:00:00,26.0,56.73015873015873,45.12698412698413,98F4ABDCD1A3,56.96825396825397
28,2020-11-02 04:00:00,26.0,57.587301587301596,47.0,98F4ABDCD1A3,59.57142857142857
29,2020-11-02 05:00:00,25.822580645161292,58.20967741935484,49.37096774193547,98F4ABDCD1A3,63.016129032258064
30,2020-11-02 06:00:00,25.6984126984127,59.555555555555564,52.22222222222222,98F4ABDCD1A3,66.76190476190476
31,2020-11-02 07:00:00,26.523809523809533,58.17460317460318,66.2063492063492,98F4ABDCD1A3,77.3174603174603
32,2020-11-02 08:00:00,30.29032258064516,49.87096774193547,83.38709677419354,98F4ABDCD1A3,93.0
33,2020-11-02 09:00:00,35.36507936507937,36.0,82.98412698412699,98F4ABDCD1A3,92.4761904761905
34,2020-11-02 10:00:00,39.19354838709677,25.080645161290327,69.12903225806451,98F4ABDCD1A3,78.53225806451613
35,2020-11-02 11:00:00,41.15873015873015,20.603174603174605,69.06349206349206,98F4ABDCD1A3,77.63492063492063
36,2020-11-02 12:00:00,42.983870967741936,17.645161290322577,75.0,98F4ABDCD1A3,82.1774193548387
37,2020-11-02 13:00:00,42.82539682539682,17.936507936507933,81.09523809523809,98F4ABDCD1A3,88.65079365079364
38,2020-11-02 14:00:00,41.69354838709677,20.048387096774192,79.25806451612904,98F4ABDCD1A3,87.72580645161291
39,2020-11-02 15:00:00,40.587301587301596,22.142857142857146,80.60317460317461,98F4ABDCD1A3,88.98412698412699
40,2020-11-02 16:00:00,38.492063492063494,24.952380952380953,80.66666666666667,98F4ABDCD1A3,89.39682539682539
41,2020-11-02 17:00:00,35.16393442622951,31.491803278688533,87.27868852459017,98F4ABDCD1A3,97.18032786885244
42,2020-11-02 18:00:00,31.904761904761905,44.36507936507937,104.42857142857143,98F4ABDCD1A3,117.6031746031746
43,2020-11-02 19:00:00,29.904761904761905,54.253968253968246,109.95238095238096,98F4ABDCD1A3,124.3174603174603
44,2020-11-02 20:00:00,29.0,57.532258064516135,112.62903225806451,98F4ABDCD1A3,126.48387096774192
45,2020-11-02 21:00:00,28.63492063492064,60.444444444444436,111.53968253968254,98F4ABDCD1A3,125.90476190476191
46,2020-11-02 22:00:00,28.0,61.693548387096776,108.11290322580645,98F4ABDCD1A3,120.61290322580645
47,2020-11-02 23:00:00,27.714285714285715,60.33333333333334,102.30158730158729,98F4ABDCD1A3,114.61904761904762
