,pm25,pm10,temp,rh,co,Date,divID
509,87.11645285245899,84.68061968032791,24.438338901639355,81.78755515573776,0.442627344262295,2020-12-02 00:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
510,89.0804418839286,86.31858393750002,24.47685723214284,81.82567338392856,0.4434879732142857,2020-12-02 01:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
511,86.45124227868851,76.14485067213114,24.24139300819673,82.07254677049185,0.44478856557377056,2020-12-02 02:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
512,91.32120828688532,91.00379299999996,24.34370717213112,82.46419679508195,0.4417711557377048,2020-12-02 03:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
513,91.50939901785715,88.38301849107144,24.60034799107143,81.79856133928574,0.4410563482142856,2020-12-02 04:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
514,86.0427954545455,79.71919685950411,24.915004801652866,79.84535155371904,0.4278508677685949,2020-12-02 05:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
515,83.401924300813,74.39423941463419,24.94151017886179,79.37110564227643,0.4248883008130083,2020-12-02 06:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
516,97.84526430894314,114.52748165040651,25.462402829268303,78.13761324390248,0.4204681138211383,2020-12-02 07:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
517,102.01252781300816,120.20989617073177,27.06894765853659,73.63441942276427,0.4254194227642277,2020-12-02 08:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
518,98.59617366942152,118.45952040495872,29.09034590909091,65.95911144628097,0.4346923884297521,2020-12-02 09:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
519,88.2387151721312,107.5905219754098,30.14097561475409,60.08662777868852,0.4145758688524592,2020-12-02 10:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
520,98.09301578688526,167.62596294262298,31.69328882786886,55.085909475409814,0.41064780327868855,2020-12-02 11:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
521,76.28977643442622,88.8874125327869,32.22665368852461,56.00555360655734,0.38706457377049175,2020-12-02 12:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
522,84.57828695121951,106.52685606504059,31.39847546341464,62.0366886585366,0.35849351219512193,2020-12-02 13:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
523,79.62222495081963,89.56424068852456,30.538411213114767,67.4687337540984,0.3650898688524592,2020-12-02 14:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
524,83.9831636585366,103.70367712195122,29.769407756097554,68.22582148780488,0.3739602926829268,2020-12-02 15:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
525,67.95928018181814,69.95501923966944,28.850890355371906,68.86942247107439,0.373052958677686,2020-12-02 16:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
526,67.94887994262297,72.1538474836065,27.84267163934425,71.48771344262296,0.3874167377049183,2020-12-02 17:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
527,76.86959823478259,92.51339644347824,26.73372418260869,76.49973717391306,0.3747024086956521,2020-12-02 18:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
528,70.77980676229508,67.42043788524593,25.89882968852462,81.03845392622945,0.3774162540983607,2020-12-02 19:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
529,74.30437144354835,71.48549675000002,25.33412386290321,80.85250749999996,0.3973467177419353,2020-12-02 20:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
530,75.58214227868852,74.39185102459015,24.745607827868852,78.76488039344261,0.4115466393442623,2020-12-02 21:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
531,91.36011330327871,114.66054135245905,24.141891229508197,80.5711264262295,0.4324233442622952,2020-12-02 22:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
532,97.206910557377,114.4791377704918,23.600443762295075,83.50881928688528,0.4507948114754099,2020-12-02 23:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
533,105.5822409256198,126.35805921487602,23.52745581818182,85.85477870247931,0.467022644628099,2020-12-03 00:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
534,90.02503333606556,87.57254029508198,23.4664000409836,82.48932484426228,0.4596865409836066,2020-12-03 01:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
535,84.73061532786882,73.99189840163935,23.302088352459027,82.49014540983606,0.44624247540983614,2020-12-03 02:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
536,71.94268056557377,54.91034186885246,23.4605736967213,76.56010965573772,0.4264446147540984,2020-12-03 03:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
537,64.81961662809918,46.81987122314049,23.451019024793396,71.71133358677686,0.4150364710743803,2020-12-03 04:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
538,70.5847473629032,59.29224191129034,23.74722247580646,71.20055939516129,0.4210652741935482,2020-12-03 05:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
539,121.82834622131142,188.01561503278683,23.68895459836065,70.17401832786885,0.4379720409836064,2020-12-03 06:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
540,92.90532384297519,115.87155376859505,24.131185504132233,68.6612482892562,0.4344867355371902,2020-12-03 07:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
541,96.21085950000004,122.83038968852465,26.281299639344283,63.292991827868825,0.4399579098360657,2020-12-03 08:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
542,76.07879806557382,84.01518296721312,28.85389946721312,53.44058063114754,0.4256154098360656,2020-12-03 09:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
543,67.93933385245904,74.49216626229504,29.6923504180328,50.33154217213113,0.4084203032786887,2020-12-03 10:00:00,PAQS-5281f789-5364-4183-b51a-cd0228ac5f30
